"trial","ref_position","var_area","response","correct","rt"
1,"R",9.92224046913907,"L",TRUE,6.90899991989136
2,"L",10.3191013964824,"L",FALSE,6.50400018692017
3,"R",14.6289829891175,"L",TRUE,1.65400004386902
4,"L",13.4561811883468,"R",TRUE,1.80800008773804
5,"R",10.2093333341181,"L",TRUE,2.66400003433228
6,"L",13.0002697280142,"R",TRUE,4.58599996566772
7,"L",9.04802792216651,"L",FALSE,2.04200005531311
8,"L",10.6530018136837,"R",TRUE,3.77900004386902
9,"L",14.6140729049221,"R",TRUE,2.90899991989136
10,"L",12.3411288852803,"R",TRUE,2.88800001144409
11,"L",8.18595664738677,"L",TRUE,2.25299978256226
12,"R",11.1595982494764,"L",TRUE,3.66700005531311
13,"L",11.9087919176091,"R",TRUE,2.47300004959106
14,"R",14.1922711462248,"L",TRUE,1.70099997520447
15,"L",12.404633852886,"R",TRUE,1.92599987983704
16,"R",8.40609357552603,"R",TRUE,2.78799986839294
17,"R",8.84541666810401,"L",FALSE,1.80200004577637
18,"R",14.5122085073963,"L",TRUE,2.1470000743866
19,"L",8.50623632012866,"L",TRUE,2.89900016784668
20,"R",8.12407925818115,"R",TRUE,3.30400013923645